"year","location","total_expenses"
2015,"Středočeský kraj","43304692"
2015,"Zlínský kraj","19454828"
2016,"Unspecified location","434059499"
2016,"Hlavní město Praha","115406897"
2016,"Jihočeský kraj","18119799"
2016,"Jihomoravský kraj","45986176"
2016,"Karlovarský kraj","9043979"
2016,"Kraj Vysočina","9447117"
2016,"Královéhradecký kraj","26739827"
2016,"Liberecký kraj","15307487"
2016,"Moravskoslezský kraj","51763893"
2016,"Olomoucký kraj","18252317"
2016,"Pardubický kraj","16874908"
2016,"Plzeňský kraj","22920798"
2016,"Ústecký kraj","23405615"
2016,"Středočeský kraj","41314021"
2016,"Zlínský kraj","14998253"
2017,"Unspecified location","503297416"
2017,"Hlavní město Praha","119705450"
2017,"Jihočeský kraj","19529336"
2017,"Jihomoravský kraj","43732167"
2017,"Karlovarský kraj","8087315"
2017,"Kraj Vysočina","11105147"
2017,"Královéhradecký kraj","29715345"
2017,"Liberecký kraj","17621138"
2017,"Moravskoslezský kraj","50427563"
2017,"Olomoucký kraj","19305477"
2017,"Pardubický kraj","16291663"
2017,"Plzeňský kraj","21708077"
2017,"Ústecký kraj","75750533"
2017,"Středočeský kraj","48291001"
2017,"Zlínský kraj","16201065"
2018,"Unspecified location","513984664"
2018,"Hlavní město Praha","135457952"
2018,"Jihočeský kraj","22058138"
2018,"Jihomoravský kraj","46003461"
2018,"Karlovarský kraj","8712748"
2018,"Kraj Vysočina","11259812"
2018,"Královéhradecký kraj","32706862"
2018,"Liberecký kraj","19132855"
2018,"Moravskoslezský kraj","56012360"
2018,"Olomoucký kraj","22293597"
2018,"Pardubický kraj","17932541"
2018,"Plzeňský kraj","21940806"
2018,"Ústecký kraj","34795149"
2018,"Středočeský kraj","57389794"
2018,"Zlínský kraj","20160485"
2019,"Unspecified location","526582493"
2019,"Hlavní město Praha","122092752"
2019,"Jihočeský kraj","21847529"
2019,"Jihomoravský kraj","51120430"
2019,"Karlovarský kraj","8886529"
2019,"Kraj Vysočina","13519783"
2019,"Královéhradecký kraj","33982774"
2019,"Liberecký kraj","18685810"
2019,"Moravskoslezský kraj","59637916"
2019,"Olomoucký kraj","22898480"
2019,"Pardubický kraj","20839666"
2019,"Plzeňský kraj","20297179"
2019,"Ústecký kraj","45620969"
2019,"Středočeský kraj","56868074"
2019,"Zlínský kraj","21709346"
2020,"Unspecified location","534584315"
2020,"Hlavní město Praha","130909711"
2020,"Jihočeský kraj","22344218"
2020,"Jihomoravský kraj","50473581"
2020,"Karlovarský kraj","8962803"
2020,"Kraj Vysočina","14031552"
2020,"Královéhradecký kraj","34881319"
2020,"Liberecký kraj","17630803"
2020,"Moravskoslezský kraj","56816089"
2020,"Olomoucký kraj","24152842"
2020,"Pardubický kraj","22416867"
2020,"Plzeňský kraj","22672599"
2020,"Ústecký kraj","44917410"
2020,"Středočeský kraj","60193204"
2020,"Zlínský kraj","21593138"
2021,"Unspecified location","625400465"
2021,"Hlavní město Praha","160134517"
2021,"Jihočeský kraj","25408938"
2021,"Jihomoravský kraj","61350725"
2021,"Karlovarský kraj","8845795"
2021,"Kraj Vysočina","20768635"
2021,"Královéhradecký kraj","39834492"
2021,"Liberecký kraj","18812458"
2021,"Moravskoslezský kraj","65997291"
2021,"Olomoucký kraj","26211054"
2021,"Pardubický kraj","21902436"
2021,"Plzeňský kraj","25098386"
2021,"Ústecký kraj","46851528"
2021,"Středočeský kraj","64757074"
2021,"Zlínský kraj","34490482"
2022,"Unspecified location","670606910"
2022,"Hlavní město Praha","164615156"
2022,"Jihočeský kraj","34292071"
2022,"Jihomoravský kraj","69525092"
2022,"Karlovarský kraj","9849354"
2022,"Kraj Vysočina","20031788"
2022,"Královéhradecký kraj","44304221"
2022,"Liberecký kraj","22705986"
2022,"Moravskoslezský kraj","70517917"
2022,"Olomoucký kraj","27953323"
2022,"Pardubický kraj","24693545"
2022,"Plzeňský kraj","29805666"
2022,"Ústecký kraj","49176720"
2022,"Středočeský kraj","71480406"
2022,"Zlínský kraj","27779123"
2023,"Unspecified location","694919517"
2023,"Hlavní město Praha","160992401"
2023,"Jihočeský kraj","33787275"
2023,"Jihomoravský kraj","69168965"
2023,"Karlovarský kraj","9459948"
2023,"Kraj Vysočina","21554656"
2023,"Královéhradecký kraj","44489463"
2023,"Liberecký kraj","22998535"
2023,"Moravskoslezský kraj","80666986"
2023,"Olomoucký kraj","29540367"
2023,"Pardubický kraj","26046769"
2023,"Plzeňský kraj","32179971"
2023,"Ústecký kraj","53353477"
2023,"Středočeský kraj","76282983"
2023,"Zlínský kraj","30533510"
2024,"Unspecified location","909822883"
2024,"Hlavní město Praha","158249070"
2024,"Jihočeský kraj","34669778"
2024,"Jihomoravský kraj","72122309"
2024,"Karlovarský kraj","11786472"
2024,"Kraj Vysočina","22340302"
2024,"Královéhradecký kraj","45457186"
2024,"Liberecký kraj","24682576"
2024,"Moravskoslezský kraj","79964387"
2024,"Olomoucký kraj","30083634"
2024,"Pardubický kraj","26108252"
2024,"Plzeňský kraj","32775381"
2024,"Ústecký kraj","61033850"
2024,"Středočeský kraj","76194802"
2024,"Zlínský kraj","31970534"
